"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-01","50","58","43"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-02","53","56","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-03","53","59","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-04","55","61","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-05","56","62","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-06","57","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-07","58","70","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-08","63","76","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-09","60","62","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-10","56","59","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-11","59","62","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-12","56","58","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-13","54","59","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-14","56","69","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-15","59","63","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-16","57","61","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-17","55","65","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-18","55","59","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-19","56","61","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-20","55","59","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-21","54","59","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-22","53","57","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-23","54","56","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-24","49","55","40"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-25","50","58","42"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-26","51","62","42"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-27","54","61","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-28","54","70","41"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-29","59","76","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-30","63","76","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-01-31","60","71","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-01","56","68","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-02","56","64","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-03","57","61","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-04","58","61","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-05","56","59","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-06","55","60","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-07","59","62","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-08","61","66","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-09","59","64","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-10","59","63","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-11","59","61","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-12","57","70","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-13","62","72","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-14","59","69","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-15","58","70","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-16","57","64","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-17","58","59","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-18","54","59","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-19","55","59","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-20","56","61","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-21","59","64","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-22","58","61","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-23","55","60","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-24","53","61","44"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-25","52","60","43"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-26","52","56","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-27","53","57","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-02-28","55","61","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-01","56","72","46"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-02","61","77","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-03","64","79","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-04","59","67","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-05","57","60","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-06","54","63","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-07","57","71","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-08","62","79","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-09","63","76","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-10","64","74","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-11","62","73","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-12","58","68","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-13","58","67","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-14","58","67","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-15","60","70","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-16","61","69","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-17","59","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2017-03-18","58","67","56"
